,track_name,track_id,by,feature,album_id,album_name,album_image,release_date,album_popularity,duration,playlist
0,Redbone,47l9wxr6RwgoTSfnseBRcf,Childish Gambino,,7Ic1NAV1DsdpNHrYeLdC3L,Redbone,https://i.scdn.co/image/ab67616d0000b27320f2c5aeee77918bf9ac0dab,2016-11-17,0,326,2016
1,Love Me Now,6hdkw1wzhIRYPlYDUtCY5m,John Legend,,6vXl3I6ZEja5hOpiygJt89,Love Me Now,https://i.scdn.co/image/ab67616d0000b2733a6b8167adef5b7b752c1554,2016-10-07,59,210,2016
2,BODY,6OT42LFV2jg3cNG0oHeONn,MINO,,14NK1iABANvhwMYrkIf6cB,The MOBB,https://i.scdn.co/image/ab67616d0000b2739eced5f513ef7a1b1a7b77a0,2016-09-08,0,199,2016
3,Blood Sweat & Tears,0oSNOJEcBIKNcQzRc5TfyR,BTS,,6CqQEpTYDf64ku45E3ry7d,WINGS,https://i.scdn.co/image/ab67616d0000b273a3c35732f506de61f1de7dcc,2016-10-10,0,217,2016
4,Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T,Nirvana,,2guirTSEqLizK7j9i1MTTZ,Nevermind (Remastered),https://i.scdn.co/image/ab67616d0000b273e175a19e530c898d167d39bf,1991-09-26,75,301,2016
5,The Sharpest Lives,2kMjk14RmYyYhhSbipoa9U,My Chemical Romance,,0FZK97MXMm5mUQ8mtudjuK,The Black Parade,https://i.scdn.co/image/ab67616d0000b27317f77fab7e8f18d5f9fee4a1,2006-10-23,64,200,2016
6,Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU,DJ Snake,['Justin Bieber'],02sEJTj1sye1JaqxqpcSCp,Encore,https://i.scdn.co/image/ab67616d0000b273212d776c31027c511f0ee3bc,2016-08-05,81,205,2016
7,Infinite,01xhMrdCefADl7HSttJaf7,Eminem,,0FQ1ab1KzaOpZWZBFNNpzP,Infinite,https://i.scdn.co/image/ab67616d0000b273e64677fa775648c4bcf964fa,1996-11-12,56,251,2016
8,HERO,6gorwqDJ7bsdCHcVs5uS9u,Monsta X,,0ESTAnvX2zjMBxzesNAiR7,RUSH,https://i.scdn.co/image/ab67616d0000b2730ccb139549d30d4ed9e70dde,2015-09-07,62,231,2016
9,Haru Haru,3d3RUv7bMGWEHw5Rr6TBjL,BIGBANG,,49cfNmV24xZ9IBlZ6QFLzT,Stand Up,https://i.scdn.co/image/ab67616d0000b273f42cae27b199e3c2d49d39c2,2008-08-08,0,256,2016
