,track_name,track_id,by,feature,album_id,album_name,album_image,release_date,album_popularity,duration,playlist
67,Wraith Skating (feat. PnB Rock),7gJPfXd1bWdfyKVIMS8rsq,Tyla Yaweh,['PnB Rock'],37m9KwQ4yNWbsThepwDvAK,Heart Full of Rage,https://i.scdn.co/image/ab67616d0000b2736a59c3251231317dfdb9cd9c,2019-02-22,46,154,2019
68,TEST DRIVE,1DMEzmAoQIikcL52psptQL,Joji,,34GQP3dILpyCN018y2k61L,BALLADS 1,https://i.scdn.co/image/ab67616d0000b27360ba1d6104d0475c7555a6b2,2018-10-26,74,179,2019
69,Bad At Love,7y9iMe8SOB6z3NoHE2OfXl,Halsey,,7GjG91tyHQNGEHzKJaqOi0,hopeless fountain kingdom (Deluxe),https://i.scdn.co/image/ab67616d0000b2730f7ad6d8d829906c17cae210,2017-06-02,75,181,2019
70,Swim Good,3CgZCQyuyxHRMWB9BTwmni,Frank Ocean,,3TLaFWQDhV1g39Qwd5sPAm,Swim Good,https://i.scdn.co/image/ab67616d0000b273ebbff7725d3ce0739be01787,2011-01-01,66,257,2019
71,Solo (feat. Demi Lovato),3NuK5xMlSlB6K2Qp16zf3h,Clean Bandit,['Demi Lovato'],1MvF4ulZKH7SaDQs9rE5nc,What Is Love? (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b27337fb0680110fbb107740de5d,2018-11-30,73,222,2019
72,No Stylist (feat. Drake),04MLEeAMuV9IlHEsD8vF6A,French Montana,['Drake'],0DMvfJWc1DjSbmnJF1NW1o,No Stylist,https://i.scdn.co/image/ab67616d0000b273816673ed1db2aa75cfa91843,2018-09-20,72,192,2019
73,NUMB,01TnVDiet1DFTsyWKUKovl,XXXTENTACION,,2Ti79nwTsont5ZHfdxIzAm,?,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,2018-03-16,76,186,2019
74,100 Degrees,2ZDpSQfBdgkooeXw6oj3Uz,Rich Brian,,2ZGkTvwtwDoembcBr8SS0d,The Sailor,https://i.scdn.co/image/ab67616d0000b2739f49ffe7fe94bdd0f2f98af2,2019-07-26,70,166,2019
75,I.F.L.Y.,4a6q8CR2hzLk2plDkSxkfD,Bazzi,,4ZKdRW0AH9sxV09NmWsTkW,Soul Searching,https://i.scdn.co/image/ab67616d0000b2733a376bd9b9b1f4b2686807db,2019-08-09,83,165,2019
76,Dangerous (feat. Sam Martin),3jPp0oUSbkvB34xMZ74R0h,David Guetta,['Sam Martin'],7bpWEp24oHgUs08ImjakfU,Listen Again,https://i.scdn.co/image/ab67616d0000b273048f37d7b1bba62b93f1009a,2015-11-27,52,203,2019
77,RUNNING OUT OF TIME,5QvBXUm5MglLJ3iBfTX2Wo,"Tyler, The Creator",,5zi7WsKlIiUXv09tbGLKsE,IGOR,https://i.scdn.co/image/ab67616d0000b2737005885df706891a3c182a57,2019-05-17,69,177,2019
78,Self Care,5bJ1DrEM4hNCafcDd1oxHx,Mac Miller,,5wtE5aLX5r7jOosmPhJhhk,Swimming,https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534,2018-08-03,79,345,2019
79,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott,,41GuZcammIkupMPKH2OJ6I,ASTROWORLD,https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3,2018-08-03,90,312,2019
80,That Girl,4yYyidLY7wb22VEIL6Hzcj,Olly Murs,,6p6zXhzKX7NQucYEnRdyPq,24 HRS (Deluxe),https://i.scdn.co/image/ab67616d0000b273b3661a089bc89defa235def3,2016-11-11,56,176,2019
81,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,Meek Mill,['Drake'],6UYZEYjpN1DYRW0kqFy9ZE,Championships,https://i.scdn.co/image/ab67616d0000b273cd63c5962050729d260077d6,2018-11-30,83,180,2019
82,They Ain't You,3tfxO1TvXXQ7HymM15lGt1,Tyla Yaweh,,37m9KwQ4yNWbsThepwDvAK,Heart Full of Rage,https://i.scdn.co/image/ab67616d0000b2736a59c3251231317dfdb9cd9c,2019-02-22,61,167,2019
83,CAN'T GET OVER YOU (feat. Clams Casino),39oeKRgsLeynDIbWuXyA47,Joji,['Clams Casino'],34GQP3dILpyCN018y2k61L,BALLADS 1,https://i.scdn.co/image/ab67616d0000b27360ba1d6104d0475c7555a6b2,2018-10-26,75,107,2019
84,Mixed Personalities (feat. Kanye West),6vWEAOUSxohKxhp0K1BsxL,YNW Melly,['Kanye West'],09b9NC1oQbYaHcacgXn66k,We All Shine,https://i.scdn.co/image/ab67616d0000b27318fe5f786c4a429f47b1b253,2019-01-18,76,230,2019
85,Lonely Together - Acoustic,3fgjE7IXIkrPag6YKcKeHa,Avicii,['Rita Ora'],3IPBaA3vOQN7aGCQoZU40K,Lonely Together (Acoustic),https://i.scdn.co/image/ab67616d0000b273464ba9fb0932f5bafba1d3b9,2017-10-27,56,182,2019
86,Chiquita,03lf5S8bhFv0dkx6ciQNGE,Tyla Yaweh,,37m9KwQ4yNWbsThepwDvAK,Heart Full of Rage,https://i.scdn.co/image/ab67616d0000b2736a59c3251231317dfdb9cd9c,2019-02-22,48,155,2019
87,ATTENTION,5aqu5xhPqoOWqF71PkfgM8,Joji,,34GQP3dILpyCN018y2k61L,BALLADS 1,https://i.scdn.co/image/ab67616d0000b27360ba1d6104d0475c7555a6b2,2018-10-26,72,128,2019
88,Rockabye (feat. Sean Paul & Anne-Marie),2hrUO4drrO63i7FYbCLBl2,Clean Bandit,"['Sean Paul', 'Anne-Marie']",1MvF4ulZKH7SaDQs9rE5nc,What Is Love? (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b27337fb0680110fbb107740de5d,2018-11-30,70,251,2019
89,Rollin (feat. Future & Khalid),0lMbuWUpfTWhEmOKxppEau,Calvin Harris,"['Future', 'Khalid', 'Funk Wav']",2HaqChIDc5go3qxVunBDK0,Funk Wav Bounces Vol.1,https://i.scdn.co/image/ab67616d0000b2734d3fa5ce7ba599f4fd7803ef,2017-06-30,64,272,2019
90,Novacane,13oQIvtvNRrhNJ4L9ImcoC,Tyla Yaweh,,37m9KwQ4yNWbsThepwDvAK,Heart Full of Rage,https://i.scdn.co/image/ab67616d0000b2736a59c3251231317dfdb9cd9c,2019-02-22,51,211,2019
91,Swim,1rMSja8j1k8VRXXztemdLb,Alec Benjamin,,6jKZplJpy21R5lHaYHHjmZ,Narrated For You,https://i.scdn.co/image/ab67616d0000b273459d675aa0b6f3b211357370,2018-11-16,61,144,2019
92,"Recognize (with Mercer, feat. Majid Jordan) - Mercer Remix",366EdrGaHsiq1JLEr9UUiJ,DJ Snake,"['Mercer', 'Majid Jordan']",4yAElr6AmHVYHOgC3c0sKk,"Recognize (with Mercer, feat. Majid Jordan) [Mercer Remix]",https://i.scdn.co/image/ab67616d0000b2738da21c0da6566b926b7dea6b,2019-09-27,46,276,2019
93,Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,A Boogie Wit da Hoodie,['6ix9ine'],3r5hf3Cj3EMh1C2saQ8jyt,Hoodie SZN,https://i.scdn.co/image/ab67616d0000b273dcfadea246002a5c0fd7b1b8,2018-12-21,82,189,2019
94,The Way I Are,2bLqfJjuC5syrsgDsZfGmn,Timbaland,"['Keri Hilson', 'D.O.E.']",4BxB8U8QgpR4UCvJ0moj8Z,Shock Value,https://i.scdn.co/image/ab67616d0000b2734ed674ab91bdc566534f9285,2007-01-01,75,179,2019
95,Ocean (feat. Khalid),3nc420PXjTdBV5TN0gCFkS,Martin Garrix,['Khalid'],1XQ6XbZ6ZM1V5iEtWlYDeH,Ocean (feat. Khalid),https://i.scdn.co/image/ab67616d0000b273b800b91af812df0ce0dd2883,2018-06-15,74,216,2019
96,Calling My Spirit,2MShy1GSSgbmGUxADNIao5,Kodak Black,,5n1GSzC1Reao29ScnpLYqp,Dying to Live,https://i.scdn.co/image/ab67616d0000b273f9508eb3070b95ceeb82788b,2018-12-14,73,152,2019
97,"Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",60APt5N2NRaKWf5xzJdzyC,Calvin Harris,"['Young Thug', 'Pharrell Williams', 'Ariana Grande', 'Funk Wav']",2HaqChIDc5go3qxVunBDK0,Funk Wav Bounces Vol.1,https://i.scdn.co/image/ab67616d0000b2734d3fa5ce7ba599f4fd7803ef,2017-06-30,59,229,2019
98,sand castles,5rBQIzDduJsmDbZ97gqWEW,Fujitsu,,62MVvI7ZbnVde4NDB6mFhL,corals 2,https://i.scdn.co/image/ab67616d0000b2734a22c258883ab16e7250850d,2018-09-21,59,147,2019
99,Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,Sheck Wes,,15Id9Jrqab8IwHFirdrrLp,MUDBOY,https://i.scdn.co/image/ab67616d0000b27359cd47039c5b10ed919fbaa8,2018-10-05,79,183,2019
