,track_name,track_id,by,feature,album_id,album_name,album_image,release_date,album_popularity,duration,playlist
279,Swim Good,3CgZCQyuyxHRMWB9BTwmni,Frank Ocean,,3TLaFWQDhV1g39Qwd5sPAm,Swim Good,https://i.scdn.co/image/ab67616d0000b273ebbff7725d3ce0739be01787,2011-01-01,66,257,2017
280,Hate,0sYbRzhGQC0NRTVvwe8n3H,4Minute,,5vRc2fDkzXX2QzAjDdvZXT,Act. 7,https://i.scdn.co/image/ab67616d0000b273ef78c553bf66b6eafe35cea1,2016-02-01,0,214,2017
281,Might Not,40Ky84YrpiOD5QNupPuT9F,Belly,['The Weeknd'],7mjpA1ly9xI1XObT1SsegZ,Might Not,https://i.scdn.co/image/ab67616d0000b273027f7cb5de626e7fcae5d242,2015-12-18,0,224,2017
282,Heart-Shaped Box,11LmqTE2naFULdEP94AUBa,Nirvana,,6ohX7moZZnF1FwYrli1OJ6,In Utero - 20th Anniversary - Deluxe Edition,https://i.scdn.co/image/ab67616d0000b273aca059cebc1841277db22d1c,1993-09-21,75,281,2017
283,Bigger Than Me,6zpXc7WJ3TqYWb02B6sKyF,Big Sean,"['The Flint Chozen Choir', 'Starrah']",0XAIjjN5qxViVS0Y5fYkar,I Decided.,https://i.scdn.co/image/ab67616d0000b273e572359074e5da958a922987,2017-02-03,53,292,2017
284,Wyclef Jean,55OdqrG8WLmsYyY1jijD9b,Young Thug,,7EpUpNUkkEGnaCvkcn1j4H,JEFFERY,https://i.scdn.co/image/ab67616d0000b273d0c72291cd96834e199e1ff8,2016-08-26,66,236,2017
285,愛如潮水,0OOIgBn2ba6BQLInoUuZnj,Jeff Chang,,2KqREgRRcPaIafc69hiZz8,絕對收藏張信哲,https://i.scdn.co/image/ab67616d0000b273b0b492758f8a8bda5af85349,2007-12-10,54,270,2017
286,10 Bands,12d5QFwzh60IIHlsSnAvps,Drake,,0ptlfJfwGTy0Yvrk14JK1I,If You're Reading This It's Too Late,https://i.scdn.co/image/ab67616d0000b2732090f4f6cc406e6d3c306733,2015-02-12,65,177,2017
287,Gospel,7uuBfgY1vBCalrQRyyQhqs,Rich Brian,"['Keith Ape', 'XXXTENTACION']",79M1nv9rYaZvyt1GmyDAEa,Gospel,https://i.scdn.co/image/ab67616d0000b2737fd714104d7f416909ccb0e5,2017-05-12,1,173,2017
288,All About It (feat. Ed Sheeran),2rvHIXjN4TCFuFLZk3qAxn,Hoodie Allen,['Ed Sheeran'],0U2j0WaDMic6tJ8ijfhkpu,People Keep Talking,https://i.scdn.co/image/ab67616d0000b273458c5041ad04ffbf4606d453,2014-10-14,45,205,2017
289,Impatient,3WjyiSbfR74pjWXQ3IaFKJ,Jeremih,['Ty Dolla $ign'],7DMyQuDPe8xzjC0UDSDa96,Late Nights: The Album,https://i.scdn.co/image/ab67616d0000b273262c8e955ad5c60b1d0abf53,2015-12-04,73,245,2017
290,Black Swan,1hq60pjO9steNgF9rOPPtX,RAINBOW,,1xEiPhV9KMKead42V0g4nJ,RAINBOW 3rd Mini Album 'INNOCENT',https://i.scdn.co/image/ab67616d0000b273ac0fea4d7e6413f68befb638,2015-02-23,35,217,2017
291,別怕我傷心,1A85P5bmD4WfNHk24xT8uX,Jeff Chang,,2KqREgRRcPaIafc69hiZz8,絕對收藏張信哲,https://i.scdn.co/image/ab67616d0000b273b0b492758f8a8bda5af85349,2007-12-10,46,286,2017
292,And July (feat. DEAN & DJ Friz),0Yz3F0UGDibDe8uU69zmjn,HEIZE,"['Dean', 'DJ Friz']",3xUWeFeLn6m3NXKr0FlT3E,And July,https://i.scdn.co/image/ab67616d0000b273d16897c024b1dfeb33cabda0,2016-07-18,11,226,2017
293,1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV,Logic,"['Alessia Cara', 'Khalid']",1HiN2YXZcc3EjmVZ4WjfBk,Everybody,https://i.scdn.co/image/ab67616d0000b273cfdf40cf325b609a52457805,2017-05-05,80,250,2017
294,你怎麼捨得我難過,1M97kKsHd1mw2rj4WCH2TA,黃品源,,522n3e93uGHKCB3fzQ4NYx,男配角的心聲,https://i.scdn.co/image/ab67616d0000b273dfe7ace9aa33b925e15e3b13,1990-06-30,49,293,2017
