,track_name,track_id,by,feature,album_id,album_name,album_image,release_date,album_popularity,duration,playlist
0,SAD!,35ieKju5aLWFN5UgfJ27mL,XXXTENTACION,,06cVDouWVOcPYAW6w7KOWO,SAD!,https://i.scdn.co/image/ab67616d0000b273258871cc2f0e5d66e28b30c6,2018-03-02,1,166,2018
1,HandClap,7j56HrjR9cGzvekvZY3Faz,Fitz and The Tantrums,,7HBKKw5pJLNj6mdRLb1KG3,Fitz and The Tantrums,https://i.scdn.co/image/ab67616d0000b27358c4833cc8b1a3d6e4890940,2016-06-10,66,193,2018
2,Don't Leave Me,3zIG0WuI5RoJsFYnErkFDU,BTS,,66J1OXSaS3hBZASOV3el8t,FACE YOURSELF,https://i.scdn.co/image/ab67616d0000b2737df155730d4d753560ec28a5,2018-04-04,69,227,2018
3,Find Your Love,4BycRneKmOs6MhYG9THsuX,Drake,,6jlrjFR9mJV3jd1IPSplXU,Thank Me Later,https://i.scdn.co/image/ab67616d0000b27311b21e8b868800918d21bb77,2010-01-01,61,208,2018
4,Youngblood,2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,,2D0Hi3Jj6RFnpWDcSa0Otu,Youngblood (Deluxe),https://i.scdn.co/image/ab67616d0000b27341aa6776dc15fbd71a2b4557,2018-06-15,83,203,2018
5,Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,,3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,2017-03-03,86,233,2018
6,Quit (feat. Ariana Grande),4rwqrKdwlFWJ6LvPYaOtgn,Cashmere Cat,['Ariana Grande'],5HR24TLfeGpDT860C7qka9,9,https://i.scdn.co/image/ab67616d0000b273747de7362e80274878719786,2017-04-28,69,258,2018
7,Self Care,5bJ1DrEM4hNCafcDd1oxHx,Mac Miller,,5wtE5aLX5r7jOosmPhJhhk,Swimming,https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534,2018-08-03,79,345,2018
8,All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,Kendrick Lamar,['SZA'],3pLdWdkj83EYfDN6H2N8MR,Black Panther The Album Music From And Inspired By,https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888,2018-02-09,79,232,2018
9,Hi Bich,5JW8njiQorZ7m2VHYddTt6,Bhad Bhabie,,0RxWOTgimZVYj1FtyTtGNH,Hi Bich,https://i.scdn.co/image/ab67616d0000b27344b518e6f15272e5969a52a2,2017-09-21,54,104,2018
10,Novacane,4osgfFTICMkcGbbigdsa53,Frank Ocean,,3RYdEXhGHojkTILUdtnRVJ,Novacane,https://i.scdn.co/image/ab67616d0000b27359a428dc7ef8e0c12b0fe18a,2011-01-01,71,302,2018
