,track_name,by,feature,album_name,album_image,release_date,album_popularity,duration
0,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),Lil Peep,"['ILOVEMAKONNEN', 'Fall Out Boy']",I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),https://i.scdn.co/image/ab67616d0000b2739067de29733d1ecf1b87e583,2019-01-31,75,233
1,Hopeless Romantic (feat. Swae Lee),Wiz Khalifa,['Swae Lee'],Hopeless Romantic (feat. Swae Lee),https://i.scdn.co/image/ab67616d0000b273d7bd17179a6c41ddbddbd4bd,2018-06-21,53,225
2,Moonlight,XXXTENTACION,,?,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,2018-03-16,86,135
3,Lover Boy,Phum Viphurit,,Lover Boy,https://i.scdn.co/image/ab67616d0000b273ebefdcb9f6e825e8582bbac4,2018-03-22,67,236
4,SAD!,XXXTENTACION,,?,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,2018-03-16,87,166
5,Lean Wit Me,Juice WRLD,,Goodbye & Good Riddance,https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4,2018-12-10,82,175
6,Señorita,Shawn Mendes,['Camila Cabello'],Señorita,https://i.scdn.co/image/ab67616d0000b273e6095c382c2853667c1623eb,2019-06-21,87,190
7,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,"['Chance the Rapper', 'PnB Rock']",Cross Me (feat. Chance the Rapper & PnB Rock),https://i.scdn.co/image/ab67616d0000b273f1d4fe9b36aa7be708ea44ea,2019-05-24,73,206
8,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,['Swae Lee'],Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),https://i.scdn.co/image/ab67616d0000b273e2e352d89826aef6dbd5ff8f,2018-12-14,86,158
9,whoa (mind in awe),XXXTENTACION,,SKINS,https://i.scdn.co/image/ab67616d0000b273da9e59639a9759d8952890c6,2018-12-07,74,157
10,Hide (feat. Seezyn),Juice WRLD,['Seezyn'],Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),https://i.scdn.co/image/ab67616d0000b273e2e352d89826aef6dbd5ff8f,2018-12-14,77,205
11,Slide (feat. Frank Ocean & Migos),Calvin Harris,"['Frank Ocean', 'Migos', 'Funk Wav']",Funk Wav Bounces Vol.1,https://i.scdn.co/image/ab67616d0000b2734d3fa5ce7ba599f4fd7803ef,2017-06-30,70,230
12,Noticed,Lil Mosey,,Northsbest,https://i.scdn.co/image/ab67616d0000b2738314a1eef415b654f433f3aa,2018-10-19,4,165
