,track_name,track_id,by,feature,album_id,album_name,album_image,release_date,album_popularity,duration,playlist
0,DNA,5SE57ljOIUJ1ybL9U6CuBH,BTS,,2FTS6a6DLXMNp8flyA0HGO,Love Yourself 承 'Her',https://i.scdn.co/image/ab67616d0000b273f9a16d4b6cd94eca041f00b8,2017-09-18,73,223,2017
1,XO TOUR Llif3,0q1iweKeEOzuxrWL7cOckw,Lil Uzi Vert,,0MsnhKAIT73VVCwfrbi8nQ,XO TOUR Llif3,https://i.scdn.co/image/ab67616d0000b273802ecef306da8144973d4623,2017-03-23,0,182,2017
2,羅生門,7xAVLrbnud6OrU6f4FmxDr,Juno Mak,['Kay Tse'],7iazSs9PaBdukqiGztIyXm,羅生門,https://i.scdn.co/image/ab67616d0000b273a1ed8b77551b4935fdd0b5a8,2015-07-22,52,262,2017
3,Save Me,54s6sdPuMjVtdB5d5KFzTC,BTS,,7qvA0kf1dkmR1As2gOnBPn,The Most Beautiful Moment in Life: Young Forever,https://i.scdn.co/image/ab67616d0000b273ad7586bf7c4cccada24a36ce,2016-05-02,73,196,2017
4,Stay With Me,1HYzRuWjmS9LXCkdVHi25K,CHANYEOL,['Punch'],6Pr1DaOWfT6hEewhZMRyqg,Guardian (Original Television Soundtrack) Part 1,https://i.scdn.co/image/ab67616d0000b273568c27fd02fc03d0ee39fc04,2016-12-03,24,192,2017
5,FXXK IT,7uzib3dSSwgUwcD3z0k3bR,BIGBANG,,1q8h2HdED1cmgJVo8lEBME,MADE,https://i.scdn.co/image/ab67616d0000b2735c2254d6d7618143e23f7fdb,2016-12-13,65,231,2017
6,演員,34mRQFXVDXFdZz3pqddU7x,Joker Xue,,0TeXupbi7iHsap7NQGavzN,紳士,https://i.scdn.co/image/ab67616d0000b2739d57627ae9b79969a5d87f29,2015-06-08,55,261,2017
7,Still (feat.Crush),6z7gU9SBoBdqEaMi4jPKc2,Loco,,1hn2ZGbHCcJE8AsAVph2QI,Still,https://i.scdn.co/image/ab67616d0000b273ae346e8715d613cdfd5ab3e6,2016-11-04,36,276,2017
8,漩渦,6wvknxG5TtTi2n9ESlJE1l,Cass Phang,,2gxtbsrQTpsJghyfRXzzGB,要多美麗有多美麗,https://i.scdn.co/image/ab67616d0000b273adde4fb70cdd90d201387250,2000-08-21,41,245,2017
9,Blood Sweat & Tears,5RGf8qn1TBWVplLyyKUsuV,BTS,,17FnTn4P3Bkyf6mbNQDhhy,Wings,https://i.scdn.co/image/ab67616d0000b273aabacdacfb6eceeb819c6ed6,2016-10-10,75,217,2017
